"image","exec_id","operation","timestamp","packet_size_bytes","service_owner","img_size_mb"
"fedora32",21,"SHELVE",317,118613816,"glance",289
"fedora32",21,"SHELVE",318,116319476,"glance",289
"fedora32",21,"SHELVE",319,102425419,"glance",289
"fedora32",21,"SHELVE",320,108163082,"glance",289
"fedora32",21,"SHELVE",321,108437621,"glance",289
"fedora32",21,"SHELVE",322,12889265,"glance",289
"fedora32",21,"SHELVE",323,883949,"neutron",289
"fedora32",21,"SHELVE",324,537376,"designate",289
"fedora32",21,"SHELVE",325,607312,"designate",289
"fedora32",21,"STOP",219,30857,"designate",289
"fedora32",21,"STOP",220,649249,"designate",289
"fedora32",21,"STOP",221,264016,NA,289
"fedora32",21,"STOP",222,528985,"designate",289
"fedora32",21,"STOP",223,326626,"heat",289
"fedora32",21,"STOP",224,380497,NA,289
"fedora32",21,"SUSPEND",87,258047,NA,289
"fedora32",21,"SUSPEND",88,676018,"designate",289
"fedora32",21,"SUSPEND",89,372967,NA,289
"fedora32",21,"SUSPEND",90,378651,NA,289
"fedora32",21,"SUSPEND",91,282198,NA,289
"fedora32",21,"SUSPEND",92,524380,"designate",289
"fedora32",21,"SUSPEND",93,198427,"designate",289
"fedora32",21,"SUSPEND",94,471529,NA,289
"fedora32",21,"SUSPEND",95,163698,NA,289
"fedora32",22,"CREATE",1,16026,NA,289
"fedora32",22,"CREATE",2,216199,NA,289
"fedora32",22,"CREATE",3,568747,"designate",289
"fedora32",22,"CREATE",4,299635,NA,289
"fedora32",22,"CREATE",5,661971,NA,289
"fedora32",22,"CREATE",6,668777,"designate",289
"fedora32",22,"CREATE",7,208152009,"designate",289
"fedora32",22,"CREATE",8,96398666,"glance",289
"fedora32",22,"CREATE",9,327112,NA,289
"fedora32",22,"CREATE",10,410752,NA,289
"fedora32",22,"CREATE",11,956217,"designate",289
"fedora32",22,"CREATE",12,1055774,NA,289
"fedora32",22,"CREATE",13,540598,"neutron",289
"fedora32",22,"CREATE",14,402250,"designate",289
"fedora32",22,"CREATE",15,269951,NA,289
"fedora32",22,"CREATE",16,406063,"neutron",289
"fedora32",22,"CREATE",17,249162,"neutron",289
"fedora32",22,"CREATE",18,408611,"designate",289
"fedora32",22,"CREATE",19,334847,NA,289
"fedora32",22,"CREATE",20,294023,NA,289
"fedora32",22,"CREATE",21,733170,"designate",289
"fedora32",22,"CREATE",22,267336,NA,289
"fedora32",22,"CREATE",23,410816,"nova",289
"fedora32",22,"CREATE",24,263854,"designate",289
"fedora32",22,"CREATE",25,427687,"designate",289
"fedora32",22,"CREATE",26,1244838,"designate",289
"fedora32",22,"CREATE",27,561208,NA,289
"fedora32",22,"RESUME",156,274283,"neutron",289
"fedora32",22,"RESUME",157,914096,"designate",289
"fedora32",22,"RESUME",158,392841,NA,289
"fedora32",22,"RESUME",159,335631,NA,289
"fedora32",22,"SHELVE",285,242998,NA,289
